# SEATS — the routine roster, single-sourced
#
# THIS FILE IS THE REGISTRATION RECORD. `knowledge-base/routines/CHARTER.md` §3 and §3a and
# `TEAM.md`'s seating chart are GENERATED from it — run `pnpm guard:seats --write-table` and
# commit the result. Editing those tables by hand fails the guard.
#
# > **Registry read:** last verified 2026-08-24 · review every 7 days
#
# WHY A FRESHNESS LINE. CI cannot read either scheduler, so this file is a SNAPSHOT taken by a
# session that can. The line above is what forces someone to re-take it. Going stale is itself a
# failure — that is the whole point, because a roster nobody re-measures is how ten seats came to
# look staffed (CHARTER §0, §11; TEAM.md's own rule).
#
# HOW TO RE-TAKE THE SNAPSHOT:
#   local fleet : list_scheduled_tasks           (MCP, laptop only)
#   CCR fleet   : RemoteTrigger action:list      (MCP, cloud only) — FILTER cron_expression != ""
#                 The list is dominated by ephemeral one-shot PR-watchers that carry an empty
#                 cron and a run_once_at. They are not seats. Only cron rows belong here.
# Then bump the date above, run `pnpm guard:seats --write-table`, and commit both.
#
# CCR READ COMPLETED 2026-08-24 — this supersedes the "two pages were sampled" caveat that
# shipped with #722. The full trigger list was read and filtered to cron_expression != "":
#   25 triggers total · 20 recurring · 5 ephemeral one-shot PR-watchers (correctly excluded)
#   Of the 20 recurring: 18 are Homiquity seats and are recorded below.
#   The other 2 are deliberately NOT seats and are named here so 20 vs 18 reconciles instead
#   of reading as fresh drift: "Sunday travel + calendar brief" (trig_01Suy9wpSzy5MSV2JvAcekKX)
#   and "Barakat RE — daily inbox triage" (trig_017g5xqR4fX63FyivX7dvnQM). Both are enabled,
#   both belong to other work, neither writes to this repo.
# Enabled at that read: 8 of 20. The 12 paused ones carry NO ended_reason and NO
# suspension_reason, which per the scheduler means switched off by hand — not expired, not
# billing-suspended. Audit: https://claude.ai/code/artifact/13e7ba24-3ec0-48f9-b922-a6bc48f8bc81
#
# status: active | paused | unregistered | retired
#   unregistered is a FIRST-CLASS state, not an omission. CHARTER §11: "a definition on disk that
#   is not registered in the scheduler is not a routine — it is a fossil, and fossils are what
#   produced §0." The roster must be able to say that out loud.
# statusReason + reviewBy are REQUIRED for paused/unregistered/unverified. A pause with no expiry
#   is the DA-0820-09 failure: a control paused because of a premise dies when the premise
#   changes, and nothing re-checks it.
#
# Tab-separated. Columns:
# seatId	displayName	fleet	taskId	cron	fires	cadence	writesCode	definitionPath	status	statusReason	reviewBy	produces

seatId	displayName	fleet	taskId	cron	fires	cadence	writesCode	definitionPath	status	statusReason	reviewBy	produces
feature-completion-engine	Feature Completion Engine	local	feature-completion-engine	30 12 * * *	12:34	daily	yes — one domain per run	~/.claude/scheduled-tasks/feature-completion-engine/SKILL.md	active			the highest-value completion gap in one domain, shipped
staff-journey-walk	Staff Journey Walk	local	staff-journey-walk	40 13 * * *	13:46	daily	no — trace + tickets	~/.claude/scheduled-tasks/staff-journey-walk/SKILL.md	paused	the 8 GB laptop cannot host the local fleet (2026-08-22); a browser-driving seat is among the heaviest	2026-09-07	one staff desk walked as the seat and its counterpart, own port 5003
handoff-steward	Handoff Corpus Steward	local	client-journey-walk	5 17 * * *	17:06	daily	no — `knowledge-base/handoff/**` docs only	.claude/skills/handoff-refresh/SKILL.md	active			corpus refresh PR + drift/aging report
doc-accuracy	Doc Accuracy	local	doc-accuracy-daily	30 19 * * *	19:33	daily	docs only — living `.md` (§6)	.claude/skills/doc-accuracy/SKILL.md	active			one docs PR per tick at most + the `DA-…` ledger
ui-conformance-sweep	UI Conformance Sweep	local	ui-conformance-sweep	30 15 * * 6	Sat 15:33	weekly	yes — `client/src/**` visual only	.claude/skills/ui-conformance-sweep/SKILL.md	active			one conformance PR + the `UC-…` ledger
workflow-completion-engine	Workflow Completion Engine	local	workflow-completion-engine	50 9 * * *	10:00	daily	yes — one seam per run	~/.claude/scheduled-tasks/workflow-completion-engine/SKILL.md	paused	the 8 GB laptop cannot host the local fleet (2026-08-22)	2026-09-07	one end-to-end workflow driven in a browser, first seam fixed
evening-triage	Evening Triage	local	evening-triage	0 21 * * *	21:10	daily	docs only	.claude/skills/evening-triage/SKILL.md	active			roadmap update + the founder's tomorrow list
trunk-health	Trunk Health	local	launch-gate	45 7 * * *	07:48	daily	no — tickets only	~/.claude/scheduled-tasks/launch-gate/SKILL.md	unregistered	NOT REGISTERED as of the 2026-08-24 read. Recommended for restoration BUT it runs `pnpm check` + both test lanes + every guard, which is the load the 2026-08-22 pause was about — founder call on local vs cloud.	2026-08-31	`TRUNK: healthy/degraded/broken` + the build queue + security delta
primary-engineer	Primary Engineer	local	primary-engineer	15 7 * * *	07:21	daily	yes — company-wide lane	~/.claude/scheduled-tasks/primary-engineer/SKILL.md	unregistered	NOT REGISTERED as of the 2026-08-24 read. A heavy build lane; restoring it recreates the 2026-08-22 load condition.	2026-09-07	up to 3 product-ranked PRs
capture-path-engineer	Capture Path Engineer	local	act-as-a-senior-frontend-architect-i-need-you-to-audit-the-wiring-and-structural-integrity-of-mortgage-streamhomiquity	10 9 * * *	09:20	daily	yes — capture path	~/.claude/scheduled-tasks/act-as-a-senior-frontend-architect-i-need-you-to-audit-the-wiring-and-structural-integrity-of-mortgage-streamhomiquity/SKILL.md	unregistered	NOT REGISTERED as of the 2026-08-24 read. Heavy build lane. Reports under the slug `wiring-audit`; the taskId is kept deliberately (CHARTER §11 lesson 3 — renaming discards run history and tool approvals).	2026-09-07	committed fix on a worktree branch
